Job started: Fri Apr 17 08:01:19 PM EDT 2026
Node: g0306.ll.unc.edu
/work/users/t/x/txueying/hf_venv/bin/python3
Python 3.12.4
Device: cuda
Loading model: OpenGVLab/InternVL2-8B
FlashAttention2 is not installed.
Warning: Flash attention is not available, using eager attention instead.
Model loaded on cuda (torch.bfloat16)
[001-001/100] S001..S001 ... done [7.46s]
[002-002/100] S002..S002 ... done [3.56s]
[003-003/100] S003..S003 ... done [7.65s]
[004-004/100] S004..S004 ... done [7.63s]
[005-005/100] S005..S005 ... done [3.55s]
[006-006/100] S006..S006 ... done [3.56s]
[007-007/100] S007..S007 ... done [7.62s]
[008-008/100] S008..S008 ... done [7.61s]
[009-009/100] S009..S009 ... done [3.55s]
[010-010/100] S010..S010 ... done [3.56s]
[011-011/100] S011..S011 ... done [7.62s]
[012-012/100] S012..S012 ... done [7.61s]
[013-013/100] S013..S013 ... done [3.55s]
[014-014/100] S014..S014 ... done [3.57s]
[015-015/100] S015..S015 ... done [6.27s]
[016-016/100] S016..S016 ... done [9.66s]
[017-017/100] S017..S017 ... done [3.55s]
[018-018/100] S018..S018 ... done [3.56s]
[019-019/100] S019..S019 ... done [7.62s]
[020-020/100] S020..S020 ... done [7.64s]
[021-021/100] S021..S021 ... done [3.55s]
[022-022/100] S022..S022 ... done [3.56s]
[023-023/100] S023..S023 ... done [7.62s]
[024-024/100] S024..S024 ... done [7.61s]
[025-025/100] S025..S025 ... done [3.56s]
[026-026/100] S026..S026 ... done [3.56s]
[027-027/100] S027..S027 ... done [7.65s]
[028-028/100] S028..S028 ... done [7.6s]
[029-029/100] S029..S029 ... done [3.55s]
[030-030/100] S030..S030 ... done [3.56s]
[031-031/100] S031..S031 ... done [7.63s]
[032-032/100] S032..S032 ... done [6.26s]
[033-033/100] S033..S033 ... done [3.55s]
[034-034/100] S034..S034 ... done [3.56s]
[035-035/100] S035..S035 ... done [7.63s]
[036-036/100] S036..S036 ... done [7.62s]
[037-037/100] S037..S037 ... done [3.55s]
[038-038/100] S038..S038 ... done [3.57s]
[039-039/100] S039..S039 ... done [7.63s]
[040-040/100] S040..S040 ... done [7.62s]
[041-041/100] S041..S041 ... done [3.54s]
[042-042/100] S042..S042 ... done [3.55s]
[043-043/100] S043..S043 ... done [15.74s]
[044-044/100] S044..S044 ... done [7.61s]
[045-045/100] S045..S045 ... done [3.54s]
[046-046/100] S046..S046 ... done [3.56s]
[047-047/100] S047..S047 ... done [7.65s]
[048-048/100] S048..S048 ... done [7.61s]
[049-049/100] S049..S049 ... done [3.55s]
[050-050/100] S050..S050 ... done [3.56s]
[051-051/100] S051..S051 ... done [9.65s]
[052-052/100] S052..S052 ... done [7.65s]
[053-053/100] S053..S053 ... done [3.54s]
[054-054/100] S054..S054 ... done [3.56s]
[055-055/100] S055..S055 ... done [9.64s]
[056-056/100] S056..S056 ... done [7.62s]
[057-057/100] S057..S057 ... done [3.57s]
[058-058/100] S058..S058 ... done [3.56s]
[059-059/100] S059..S059 ... done [7.65s]
[060-060/100] S060..S060 ... done [7.62s]
[061-061/100] S061..S061 ... done [3.54s]
[062-062/100] S062..S062 ... done [3.55s]
[063-063/100] S063..S063 ... done [6.29s]
[064-064/100] S064..S064 ... done [7.62s]
[065-065/100] S065..S065 ... done [3.55s]
[066-066/100] S066..S066 ... done [3.58s]
[067-067/100] S067..S067 ... done [7.63s]
[068-068/100] S068..S068 ... done [7.63s]
[069-069/100] S069..S069 ... done [3.55s]
[070-070/100] S070..S070 ... done [3.56s]
[071-071/100] S071..S071 ... done [7.61s]
[072-072/100] S072..S072 ... done [7.65s]
[073-073/100] S073..S073 ... done [3.54s]
[074-074/100] S074..S074 ... done [3.57s]
[075-075/100] S075..S075 ... done [5.59s]
[076-076/100] S076..S076 ... done [7.6s]
[077-077/100] S077..S077 ... done [3.54s]
[078-078/100] S078..S078 ... done [3.57s]
[079-079/100] S079..S079 ... done [7.63s]
[080-080/100] S080..S080 ... done [7.61s]
[081-081/100] S081..S081 ... done [3.55s]
[082-082/100] S082..S082 ... done [3.57s]
[083-083/100] S083..S083 ... done [15.74s]
[084-084/100] S084..S084 ... done [15.7s]
[085-085/100] S085..S085 ... done [3.55s]
[086-086/100] S086..S086 ... done [3.56s]
[087-087/100] S087..S087 ... done [7.63s]
[088-088/100] S088..S088 ... done [6.27s]
[089-089/100] S089..S089 ... done [3.55s]
[090-090/100] S090..S090 ... done [3.56s]
[091-091/100] S091..S091 ... done [7.63s]
[092-092/100] S092..S092 ... done [7.62s]
[093-093/100] S093..S093 ... done [3.55s]
[094-094/100] S094..S094 ... done [3.57s]
[095-095/100] S095..S095 ... done [7.63s]
[096-096/100] S096..S096 ... done [17.04s]
[097-097/100] S097..S097 ... done [3.55s]
[098-098/100] S098..S098 ... done [3.58s]
[099-099/100] S099..S099 ... done [9.65s]
[100-100/100] S100..S100 ... done [9.64s]

Done. 100 processed.
Job finished: Fri Apr 17 08:12:33 PM EDT 2026
