Job started: Sat Apr 11 08:44:02 PM EDT 2026
Node: g0308.ll.unc.edu
/work/users/t/x/txueying/hf_venv/bin/python3
Python 3.12.4
Device: cuda
Loading model: google/matcha-chartqa
Model loaded (torch.float16), device: cuda:0
[001-004/100] S001..S004 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S005..S008 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S009..S012 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S013..S016 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S017..S020 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S021..S024 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S025..S028 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S029..S032 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S033..S036 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S037..S040 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S041..S044 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S045..S048 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S049..S052 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S053..S056 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S057..S060 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S061..S064 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S065..S068 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S069..S072 ... ERROR: expected mat1 and mat2 to have the same dtype, but got: float != c10::Half
[001-004/100] S073..S076 ... 
